,occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age
8323,27345,occ,,,2062,Toxaster,genus,33490.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8324,27346,occ,,,2062,Collyrites,genus,33265.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8325,27347,occ,,,2062,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8326,27348,occ,,,2062,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8327,27349,occ,,,2062,Cymatoceras pseudoelegans,species,132031.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8328,27350,occ,,,2062,Spiticeras,genus,15659.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8329,27351,occ,,,2062,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8330,27352,occ,,,2062,Sarasinella,genus,15597.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8331,27353,occ,,,2062,Neocomites neocomiensis,species,129696.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8332,27354,occ,,,2062,Karakaschiceras,genus,86714.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8333,27355,occ,,,2063,Cymatoceras pseudoelegans,species,132031.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8334,27356,occ,,,2063,Luppovella (Luppovella) superba,species,132900.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8335,27357,occ,,,2063,Neocomites (Eristavites) teschenensis,species,132926.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8336,27358,occ,,,2063,Karakaschiceras biassalense,species,133030.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8337,27359,occ,,,2063,Karakaschiceras,genus,86714.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8338,27360,occ,,,2063,Neohoploceras,genus,15241.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8339,27361,occ,,,2063,Valanginites,genus,15782.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8340,27362,occ,,,2063,Valanginites,genus,15782.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8341,27363,occ,,,2063,Olcostephanus atherstoni,species,143539.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8342,27364,occ,,,2063,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8343,27365,occ,,,2063,Neocomites neocomiensis,species,129696.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8344,27366,occ,,,2063,Neocomites (Teschenites) pachydicranus,species,132939.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8345,27367,occ,,,2063,Olcostephanus (Olcostephanus) densicostatus,species,386130.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8346,27368,occ,,,2063,Bochianites neocomiensis,species,129963.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
