,occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age
8347,27369,occ,,,2064,Cymatoceras neocomiense,species,313338.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8348,27370,occ,,,2064,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8349,27371,occ,,,2064,Kilianella,genus,15074.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8350,27372,occ,,,2064,Luppovella (Luppovella) superba,species,132900.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8351,27373,occ,,,2064,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8352,27374,occ,,,2064,Olcostephanus atherstoni,species,143539.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8353,27375,occ,,,2064,Karakaschiceras biassalense,species,133030.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8354,27376,occ,,,2064,Karakaschiceras pronecostatum,species,385444.0,Valanginian,,139.8,132.9,57,-7.881111,31.208889,140.0
8460,27500,occ,,,2075,Haplophylloceras,genus,14476.0,Berriasian,,145.0,139.8,58,-68.5,-70.75,140.0
8461,27501,occ,,,2075,Raimondiceras,genus,15565.0,Berriasian,,145.0,139.8,58,-68.5,-70.75,140.0
8462,27502,occ,,,2075,Pinna,genus,16400.0,Berriasian,,145.0,139.8,58,-68.5,-70.75,140.0
8463,27503,occ,,,2075,Grammatodon,genus,16246.0,Berriasian,,145.0,139.8,58,-68.5,-70.75,140.0
8464,27504,occ,,,2075,Myophorella,genus,17240.0,Berriasian,,145.0,139.8,58,-68.5,-70.75,140.0
8465,27505,occ,,,2075,Pholadomya,genus,18795.0,Berriasian,,145.0,139.8,58,-68.5,-70.75,140.0
8466,27506,occ,,,2075,Inoceramus,genus,16727.0,Berriasian,,145.0,139.8,58,-68.5,-70.75,140.0
8503,27543,occ,,,2080,Neocomites neocomiensis,species,129696.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8504,27544,occ,,,2080,Platylenticeras,genus,15408.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8505,27545,occ,,,2080,Platylenticeras,genus,15408.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8506,27546,occ,,,2081,Prodichotomites complanatus,species,343637.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8507,27547,occ,,,2081,Neocomites neocomiensis,species,129696.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8508,27548,occ,,,2081,Luppovella (Luppovella) biformis,species,132895.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8509,27549,occ,,,2081,Neohoploceras provincialis,species,133025.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8510,27550,occ,,,2081,Saynoceras verrucosum,species,133001.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8511,27551,occ,,,2081,Polyptychites,genus,15430.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8512,27552,occ,,,2081,Bochianites neocomiensis,species,129963.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8513,27553,occ,,,2081,Oxytoma,genus,16876.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8514,27554,occ,,,2081,Neocomiceramus neocomiensis,species,90459.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8515,27555,occ,,,2081,Grammatodon,genus,16246.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8516,27556,occ,,,2081,Cardium,genus,17448.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8517,27557,occ,,,2081,Cardium,genus,17448.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8518,27558,occ,,,2081,Cuneocorbula angulata,species,121734.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8519,27559,occ,,,2081,Panopea,genus,61583.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8520,27560,occ,,,2081,Lamellaerhynchia rostriformis,species,285133.0,Valanginian,,139.8,132.9,59,19.65,50.466667,140.0
8560,27600,occ,,,2087,Gervillaria,genus,16674.0,Berriasian,Valanginian,145.0,132.9,60,9.4,40.266666,140.0
8561,27601,occ,,,2087,Pterotrigonia,genus,17266.0,Berriasian,Valanginian,145.0,132.9,60,9.4,40.266666,140.0
8562,27602,occ,,,2087,Lucina,genus,17835.0,Berriasian,Valanginian,145.0,132.9,60,9.4,40.266666,140.0
8563,27603,occ,,,2087,Cardium,genus,17448.0,Berriasian,Valanginian,145.0,132.9,60,9.4,40.266666,140.0
8564,27604,occ,,,2087,Cardium,genus,17448.0,Berriasian,Valanginian,145.0,132.9,60,9.4,40.266666,140.0
8565,27605,occ,,,2087,Matheronia,genus,18603.0,Berriasian,Valanginian,145.0,132.9,60,9.4,40.266666,140.0
8566,27606,occ,,,2088,Pecten,genus,16904.0,Valanginian,,139.8,132.9,60,9.7,40.383331,140.0
8567,27607,occ,,,2088,Astarte,genus,17370.0,Valanginian,,139.8,132.9,60,9.7,40.383331,140.0
8568,27608,occ,,,2088,Pholadomya gigantea,species,299888.0,Valanginian,,139.8,132.9,60,9.7,40.383331,140.0
8635,27675,occ,,,2094,Riasanites,genus,15580.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8636,27676,occ,,,2094,Euthymiceras euthymi,species,348289.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8637,27677,occ,,,2094,Neocosmoceras,genus,15233.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8638,27678,occ,,,2094,Neocosmoceras,genus,15233.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8639,27679,occ,,,2094,Neocosmoceras,genus,15233.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8640,27680,occ,,,2094,Berriasella,genus,14617.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8641,27681,occ,,,2094,Riasanites,genus,15580.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8642,27682,occ,,,2094,Riasanites,genus,15580.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8643,27683,occ,,,2094,Pseudosubplanites jauberti,species,324962.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8644,27684,occ,,,2094,Berriasella (Malbosiceras) malbosi,species,367823.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8645,27685,occ,,,2094,Berriasella,genus,14617.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8646,27686,occ,,,2094,Berriasella picteti,species,379059.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8647,27687,occ,,,2094,Berriasella oppeli,species,300486.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8648,27688,occ,,,2094,Berriasella,genus,14617.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8649,27689,occ,,,2094,Himalayites,genus,14998.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8650,27690,occ,,,2094,Cypridea,genus,92638.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8651,27691,occ,,,2094,Pachycythara,genus,11460.0,Berriasian,,145.0,139.8,61,19.016666,51.983334,140.0
8652,27692,occ,,,2097,Saynoceras verrucosum,species,133001.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8653,27693,occ,,,2097,Dichotomites bidichotomus,species,132254.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8654,27694,occ,,,2097,Dichotomites,genus,14769.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8655,27695,occ,,,2097,Polyptychites,genus,15430.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8656,27696,occ,,,2097,Polyptychites,genus,15430.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8657,27697,occ,,,2097,Polyptychites (Polyptychites) michalskii,species,132201.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8658,27698,occ,,,2097,Polyptychites (Polyptychites) ascendens,species,132203.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8659,27699,occ,,,2097,Polyptychites (Polyptychites) keyserlingi,species,132189.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8660,27700,occ,,,2097,Polyptychites (Euryptychites) latissimus,species,132227.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8661,27701,occ,,,2097,Dichotomites (Prodichotomites) flexicosta,species,132266.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8662,27702,occ,,,2097,Polyptychites,genus,15430.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8663,27703,occ,,,2097,,,,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8664,27704,occ,,,2097,Tollia (Neocraspedites),subgenus,15234.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8665,27705,occ,,,2097,Tollia (Neocraspedites),subgenus,15234.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8666,27706,occ,,,2097,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8667,27707,occ,,,2097,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8668,27708,occ,,,2097,Neohoploceras provincialis,species,133025.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8669,27709,occ,,,2097,Leopoldia,genus,15104.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8670,27710,occ,,,2097,Leopoldia,genus,15104.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8671,27711,occ,,,2097,Luppovella (Luppovella) biformis,species,132895.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8672,27712,occ,,,2097,Polyptychites,genus,15430.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8673,27713,occ,,,2097,Polyptychites (Euryptychites) diplotomus,species,132232.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8674,27714,occ,,,2097,Oxyteuthis,genus,15879.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8675,27715,occ,,,2097,Platylenticeras heteropleurum,species,455477.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8676,27716,occ,,,2097,Platylenticeras,genus,15408.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8677,27717,occ,,,2097,Platylenticeras gevrilianum,species,455481.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8678,27718,occ,,,2097,Neocomites neocomiensis,species,129696.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8679,27719,occ,,,2097,Neocomites neocomiensis,species,129696.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8680,27720,occ,,,2097,Neocomites,genus,15232.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8681,27721,occ,21000.0,,2097,Surites,genus,85020.0,Valanginian,,139.8,132.9,28273,19.016666,51.983334,140.0
8682,27722,occ,21001.0,,2097,Surites,genus,85020.0,Valanginian,,139.8,132.9,28273,19.016666,51.983334,140.0
8683,27723,occ,21002.0,,2097,Surites,genus,85020.0,Valanginian,,139.8,132.9,28273,19.016666,51.983334,140.0
8684,27724,occ,,,2097,Peregrinoceras albidum,species,132099.0,Valanginian,,139.8,132.9,61,19.016666,51.983334,140.0
8698,27738,occ,,,2112,Pseudosubplanites,genus,64670.0,Berriasian,,145.0,139.8,62,40.259724,43.30389,140.0
8699,27739,occ,,,2112,Negreliceras,genus,429075.0,Berriasian,,145.0,139.8,62,40.259724,43.30389,140.0
8700,27740,occ,,,2112,Euthymiceras,genus,348288.0,Berriasian,,145.0,139.8,62,40.259724,43.30389,140.0
8701,27741,occ,,,2112,Protetragonites quadrisulcatus,species,134203.0,Berriasian,,145.0,139.8,62,40.259724,43.30389,140.0
8702,27742,occ,,,2112,Favriella,genus,11119.0,Berriasian,,145.0,139.8,62,40.259724,43.30389,140.0
8703,27743,occ,,,2112,Favriella,genus,11119.0,Berriasian,,145.0,139.8,62,40.259724,43.30389,140.0
8704,27744,occ,,,2112,Dalmasiceras crassicostatum,species,348286.0,Berriasian,,145.0,139.8,62,40.259724,43.30389,140.0
8705,27745,occ,,,2113,Thurmanniceras thurmanni,species,132904.0,Valanginian,,139.8,132.9,62,40.259724,43.30389,140.0
8706,27746,occ,,,2113,Kilianella,genus,15074.0,Valanginian,,139.8,132.9,62,40.259724,43.30389,140.0
8707,27747,occ,,,2113,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,62,40.259724,43.30389,140.0
8708,27748,occ,,,2113,Neocomites,genus,15232.0,Valanginian,,139.8,132.9,62,40.259724,43.30389,140.0
8753,27793,occ,,,2118,Busnardoites campylotoxus,species,385439.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8754,27794,occ,,,2118,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8755,27795,occ,,,2118,Kilianella,genus,15074.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8756,27796,occ,,,2118,Kilianella,genus,15074.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8757,27797,occ,,,2118,Bochianites neocomiensis,species,129963.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8758,27798,occ,,,2118,Neocomites (Eristavites) teschenensis,species,132926.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8759,27799,occ,,,2118,Bochianites neocomiensiformis,species,129975.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8760,27800,occ,,,2118,Protetragonites quadrisulcatus,species,134203.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8761,27801,occ,,,2118,Phylloceras,genus,14492.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8762,27802,occ,,,2118,Himantoceras trinodosum,species,131061.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8763,27803,occ,,,2118,Crioceratites heterocostatus,species,131068.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8764,27804,occ,,,2118,Lytoceras sutile,species,322995.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8765,27805,occ,,,2118,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8766,27806,occ,,,2118,Eleniceras,genus,94766.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8814,27914,occ,,F,2118,Lamellaptychus,genus,86697.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8815,27915,occ,,F,2118,Lamellaptychus,genus,86697.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8816,27916,occ,,F,2118,Lamellaptychus,genus,86697.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8817,27917,occ,,F,2118,Lamellaptychus,genus,86697.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8818,27918,occ,,F,2118,Lamellaptychus,genus,86697.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8819,27919,occ,,,2118,Duvalia,genus,15862.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8820,27920,occ,,,2118,Belemnites (Hibolites),subgenus,15868.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8821,27921,occ,,,2118,Duvalia,genus,15862.0,Valanginian,,139.8,132.9,63,21.279167,49.424999,140.0
8850,27951,occ,,,2124,Exogyra reedi,species,298893.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8851,27952,occ,,,2124,Exogyra,genus,16655.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8852,27953,occ,,,2124,Cardium,genus,17448.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8853,27954,occ,,,2124,Pecten,genus,16904.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8854,27955,occ,,,2124,Pecten,genus,16904.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8855,27956,occ,,,2124,Pleuromya,genus,18805.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8856,27957,occ,,,2124,Terebratula tamaulipana,species,298902.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8864,27965,occ,,,2126,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8865,27966,occ,,,2126,Aetostreon subsinuatum,species,440884.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8866,27967,occ,,,2126,Exogyra reedi,species,298893.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8867,27968,occ,,,2126,Exogyra tamaulipana,species,298895.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8868,27969,occ,,,2126,Lucina,genus,17835.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8869,27970,occ,,,2126,Pecten,genus,16904.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8870,27971,occ,,,2126,Pecten,genus,16904.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8871,27972,occ,,,2126,Pleuromya,genus,18805.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8872,27973,occ,,,2126,Vermetus,genus,10660.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8873,27974,occ,,,2126,Terebratula tamaulipana,species,298902.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8874,27975,occ,,,2126,Terebratula sillimani,species,298901.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8875,27976,occ,,,2128,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8876,27977,occ,,,2128,Exogyra reedi,species,298893.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8877,27978,occ,,,2128,Aetostreon subsinuatum,species,440884.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8878,27979,occ,,,2128,Exogyra tamaulipana,species,298895.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8879,27980,occ,,,2128,Pecten,genus,16904.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8880,27981,occ,,,2128,Vermetus,genus,10660.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8881,27982,occ,,,2128,Terebratula tamaulipana,species,298902.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8882,27983,occ,,,2128,Terebratula sillimani,species,298901.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8883,27984,occ,,,2127,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8884,27985,occ,,,2127,Exogyra reedi,species,298893.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8885,27986,occ,,,2127,Aetostreon subsinuatum,species,440884.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8886,27987,occ,,,2127,Exogyra tamaulipana,species,298895.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8887,27988,occ,,,2127,Vermetus,genus,10660.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8888,27989,occ,,,2127,Terebratula tamaulipana,species,298902.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8889,27990,occ,,,2127,Terebratula sillimani,species,298901.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8890,27991,occ,,,2129,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8891,27992,occ,,,2129,Thurmannites miquihuanensis,species,298892.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8892,27993,occ,,,2129,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8893,27994,occ,,,2130,Olcostephanus,genus,15281.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8894,27995,occ,,,2130,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8895,27996,occ,,,2130,Thurmannites novihispanicus,species,298891.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8896,27997,occ,,,2130,Thurmannites angusticostatus,species,298890.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8897,27998,occ,,,2130,Thurmannites miquihuanensis,species,298892.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8898,27999,occ,,,2130,Exogyra reedi,species,298893.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8899,28000,occ,,,2130,Aetostreon subsinuatum,species,440884.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8900,28001,occ,,,2130,Cyclothyris subtrigonalis,species,298900.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8901,28002,occ,,,2130,Rhynchonella miquihuanensis,species,298899.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8902,28003,occ,,,2130,Antiptychina muellerriedi,species,298896.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8903,28004,occ,,,2130,Antiptychina lata,species,298898.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8904,28005,occ,,,2130,Terebratula sillimani,species,298901.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8905,28006,occ,,,2131,Aetostreon subsinuatum,species,440884.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8906,28007,occ,,,2131,Exogyra reedi,species,298893.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8907,28008,occ,,,2131,Exogyra tamaulipana,species,298895.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8908,28009,occ,,,2131,Gryphaea,genus,16691.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8909,28010,occ,,,2131,Cucullaea,genus,16224.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8910,28011,occ,,,2131,Vermetus,genus,10660.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8911,28012,occ,20908.0,,2132,Olcostephanus atherstoni,species,143539.0,Valanginian,,139.8,132.9,28118,-99.783333,23.566668,140.0
8912,28013,occ,,,2132,Thurmannites novihispanicus,species,298891.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8913,28014,occ,,,2132,Exogyra reedi,species,298893.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8914,28015,occ,,,2132,Aetostreon subsinuatum,species,440884.0,Valanginian,,139.8,132.9,64,-99.783333,23.566668,140.0
8915,28016,occ,,,2133,Olcostephanus atherstoni,species,143539.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8916,28017,occ,,,2133,Olcostephanus atherstoni,species,143539.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8917,28018,occ,,,2133,Olcostephanus atherstoni,species,143539.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8918,28019,occ,,,2133,Olcostephanus sanlazarensis,species,132987.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8919,28020,occ,,,2133,Olcostephanus paucicostatus,species,132981.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8920,28021,occ,,,2133,Olcostephanus atherstoni,species,143539.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8921,28022,occ,,,2133,Valanginites tijerensis,species,133000.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8922,28023,occ,,,2133,Thurmannites angusticostatus,species,298890.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8923,28024,occ,,,2133,Favrella,genus,14890.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8924,28025,occ,,,2133,Trigonarca,genus,16319.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8925,28026,occ,,,2134,Thurmanniceras,genus,15729.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
8926,28027,occ,,,2134,Thurmannites novihispanicus,species,298891.0,Valanginian,,139.8,132.9,64,-99.616669,25.816668,140.0
