,occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age
6075,24632,occ,,,1765,Sonneratia,genus,15644.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6076,24633,occ,,,1765,Sonneratia,genus,15644.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6077,24634,occ,,,1765,Anadesmoceras,genus,14547.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6078,24635,occ,,,1765,Roberticeras dupinianum,species,459550.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6079,24636,occ,,,1765,Otohoplites,genus,15294.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6080,24637,occ,,,1765,Douvilleiceras mammillatum,species,146207.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6081,24638,occ,,,1765,Birostrina coptensis,species,422224.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6082,24639,occ,,,1765,Cuneolus,genus,59976.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6083,24640,occ,,,1765,Entolium orbiculare,species,357747.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6084,24641,occ,,,1765,Anthonya,genus,17344.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6085,24642,occ,,,1765,Senis,genus,18243.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6086,24643,occ,,,1765,Pinna robinaldina,species,366546.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6087,24644,occ,,,1765,Claviscala,genus,9658.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6088,24645,occ,,,1765,Tessarolax,genus,10572.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6089,24646,occ,,,1765,Gyrodes,genus,9928.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6090,24647,occ,,,1765,Anchura,genus,9472.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6091,24648,occ,,,1765,Semisolarium,genus,12195.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6092,24649,occ,,,1765,Toxaster,genus,33490.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6093,24650,occ,,,1765,Holaster,genus,33303.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6094,24651,occ,,,1765,Polydiadema,genus,32925.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6095,24652,occ,,,1765,Plagiophthalmus,genus,22645.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6096,24653,occ,,,1766,Sonneratia,genus,15644.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6097,24654,occ,,,1766,Cleoniceras,genus,14696.0,Middle Albian,,109.0,105.3,47,-1.316667,50.599998,110.0
6158,24716,occ,,,1771,Sonneratia kitchini,species,129777.0,Albian,,113.0,100.5,47,-1.166667,50.633331,110.0
6159,24717,occ,,,1771,Otohoplites,genus,15294.0,Albian,,113.0,100.5,47,-1.166667,50.633331,110.0
6160,24718,occ,,,1771,Protohoplites,genus,15490.0,Albian,,113.0,100.5,47,-1.166667,50.633331,110.0
6320,24894,occ,,,1781,Oxytoma,genus,16876.0,Albian,,113.0,100.5,47,1.183333,51.083332,110.0
6321,24895,occ,,,1781,Rastellum diluvianum,species,353304.0,Albian,,113.0,100.5,47,1.183333,51.083332,110.0
6322,24896,occ,,,1781,Entolium orbiculare,species,357747.0,Albian,,113.0,100.5,47,1.183333,51.083332,110.0
6323,24897,occ,,,1781,Neithea quinquecostata,species,359172.0,Albian,,113.0,100.5,47,1.183333,51.083332,110.0
6324,24898,occ,,,1781,Serpula,genus,7222.0,Albian,,113.0,100.5,47,1.183333,51.083332,110.0
6325,24899,occ,,,1781,Hypacanthoplites,genus,15022.0,Albian,,113.0,100.5,47,1.183333,51.083332,110.0
6326,24900,occ,,,1781,,,,Albian,,113.0,100.5,47,1.183333,51.083332,110.0
6327,24901,occ,,,1782,Exogyra,genus,16655.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6328,24902,occ,,,1782,Leymeriella (Neoleymeriella) regularis,species,333801.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6329,24903,occ,,,1782,Leymeriella (Neoleymeriella) pseudoregularis,species,333805.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6330,24904,occ,,,1782,Anadesmoceras,genus,14547.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6331,24905,occ,,,1782,Douvilleiceras,genus,14797.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6332,24906,occ,,,1782,Exogyra,genus,16655.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6333,24907,occ,,,1782,Rastellum diluvianum,species,353304.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6334,24908,occ,,,1782,Entolium orbiculare,species,357747.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6335,24909,occ,,,1782,Aptolinter,genus,89425.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
6336,24910,occ,,,1782,Tortarctica,genus,18345.0,Early Albian,,112.03,109.0,47,1.183333,51.083332,110.0
