,occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age
3446,18412,occ,,,1368,Trigonarca camerunensis,species,366245.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3447,18413,occ,,,1368,Pseudolimea interplicosa,species,366586.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3448,18414,occ,,,1368,Plicatula (Plicatula) ferryi,species,366566.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3449,18415,occ,,F,1368,Plicatula hirsuta,species,366569.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3450,18416,occ,,,1368,Pycnodonta vesicularis,species,304381.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3451,18417,occ,,,1368,Astarte similis,species,366628.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3452,18418,occ,,,1368,Protocardia (Protocardia),subgenus,264950.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3453,18419,occ,,,1368,Veniella,genus,18387.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3454,18420,occ,,,1368,Agelasina plenodonta,species,418361.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3455,18421,occ,,,1368,Paraesa faba,species,418362.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3456,18422,occ,,,1368,Anofia aro,species,418781.0,Coniacian,,89.8,86.3,64760,11.8455,-4.821,90.0
3457,18423,occ,,,1368,Scapanorhynchus rhaphiodon,species,253538.0,Coniacian,,89.8,86.3,31870,11.8455,-4.821,90.0
7694,26647,occ,,,1987,Serpula,genus,7222.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7695,26648,occ,,,1987,Lingula subspatulata,species,143324.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7696,26649,occ,,,1987,Nucula,genus,16082.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7697,26650,occ,,,1987,Yoldia,genus,16145.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7698,26651,occ,,,1987,Barbatia,genus,16210.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7699,26652,occ,,,1987,Pinna,genus,16400.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7700,26653,occ,,,1987,Gervillia,genus,16679.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7701,26654,occ,,,1987,Inoceramus fragilis,species,144314.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7702,26655,occ,,,1987,Inoceramus fragilis,species,144314.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7703,26656,occ,,,1987,Pteria,genus,16981.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7704,26657,occ,,,1987,Ostrea congesta,species,61522.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7705,26658,occ,,,1987,Ostrea,genus,16870.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7706,26659,occ,,,1987,Ostrea,genus,16870.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7707,26660,occ,,,1987,Ostrea,genus,16870.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7708,26661,occ,,,1987,Ostrea,genus,16870.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7709,26662,occ,,,1987,Exogyra,genus,16655.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7710,26663,occ,,,1987,Exogyra,genus,16655.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7711,26664,occ,,,1987,Exogyra,genus,16655.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7712,26665,occ,,,1987,Exogyra,genus,16655.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7713,26666,occ,,,1987,Pecten,genus,16904.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7714,26667,occ,,,1987,Lima,genus,16765.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7715,26668,occ,,,1987,Anomia,genus,16476.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7716,26669,occ,,,1987,Brachidontes,genus,16347.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7717,26670,occ,,,1987,Pholadomya,genus,18795.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7718,26671,occ,,,1987,Etea,genus,17637.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7719,26672,occ,,,1987,Cardium,genus,17448.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7720,26673,occ,,,1987,Legumen,genus,17802.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7721,26674,occ,,,1987,Tapes,genus,18306.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7722,26675,occ,,,1987,Tapes,genus,18306.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7723,26676,occ,,,1987,Tellina,genus,18314.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7724,26677,occ,,,1987,Leptosolen,genus,17811.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7725,26678,occ,,,1987,Cymbophora,genus,17556.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7726,26679,occ,,,1987,Corbula,genus,18441.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7727,26680,occ,,,1987,Parapholas,genus,18485.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7728,26681,occ,,IF,1987,Teredolites,genus,83923.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7729,26682,occ,,,1987,Calliomphalus,genus,8627.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7730,26683,occ,,,1987,Nerita,genus,9013.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7731,26684,occ,,,1987,Epitonium,genus,9821.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7732,26685,occ,,,1987,Polinices,genus,10291.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7733,26686,occ,,,1987,Gyrodes,genus,9928.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7734,26687,occ,,,1987,Aporrhais,genus,9489.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7735,26688,occ,,,1987,Aporrhais,genus,9489.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7736,26689,occ,,,1987,Anchura,genus,9472.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7737,26690,occ,,,1987,Fusus,genus,11143.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7738,26691,occ,,,1987,Volutoderma,genus,11849.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7739,26692,occ,,,1987,Acteon,genus,58568.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7740,26693,occ,,,1987,Gastropoda,class,8304.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7741,26694,occ,,,1987,Dentalium,genus,8172.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7742,26695,occ,,,1987,Calycoceras,genus,14666.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7743,26696,occ,,,1987,Acanthoceras,genus,14509.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7744,26697,occ,35714.0,,1987,Metoicoceras bergquisti,species,144341.0,Turonian,,93.9,89.8,29572,-93.276665,47.321945,90.0
7745,26698,occ,,,1987,Metengonoceras,genus,15196.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7746,26699,occ,,,1987,Pancrustacea,unranked clade,273389.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
7747,26700,occ,,,1987,Vertebrata,subphylum,67149.0,Turonian,,93.9,89.8,53,-93.276665,47.321945,90.0
